"Row.names","iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"1","ETH","ET",1949,3143,18889,"abadir",52341,42.39694,9.3010169,1,NA,NA,2009,NA,NA,91,9,NA,NA,91,4,NA,NA,91,0,NA,NA,1,5166,0.0989010989010989,0.0439560439560439,0,0.130669662081646,11627.5608797677,0,0,0,1,6.52579632537736,6.11028048167199,17.0595452335878,0.415516563009137,76.4146594836758,50.247468564282,30.5983253810875,34.2758147668519,19.649145080472,15.4767148249997
"10","ETH","ET",1948,3132,18869,"aebisa",52317,40.648998,7.16571,3,NA,NA,2009,NA,NA,98,1,NA,NA,98,0,NA,NA,98,0,NA,NA,1,5160,0.010204081632653,0,0,0.0096264921062764,0,9,9,58,10,19.3332845548561,18.9773728662802,78.5412181388767,0.355910619817526,2.12549894522346,85.3007203431508,4.24432008131351,5.97702162967451,81.0563989747365,8.7222586506635
"100","ETH","ET",1948,3164,18921,"jimma tibe",52391,34.7948,8.9661303,3,NA,NA,2009,NA,NA,110,7,NA,NA,110,18,NA,NA,110,10,NA,NA,1,5181,0.0636363636363636,0.163636363636364,0.0909090909090909,0.271749145911005,16468.4271300551,99,99,99,82,5.27800027956539,4.88461623542762,44.7096963612423,0.393383947323622,50.0123048632562,52.4025693644273,30.0146616787919,22.7268074647885,22.3879075386474,24.8706243248205
"101","ETH","ET",1948,3159,18928,"jimma town",52403,36.8357927,7.6738908,1,NA,NA,2013,NA,NA,622,34,NA,NA,622,126,NA,NA,622,242,NA,NA,1,5185,0.0546623794212218,0.202572347266881,0.389067524115756,0.508920438131697,0,100,100,101,83,37.1917520256717,35.4994438153092,3.96870715127501,1.69230742519446,58.8395401463454,94.7434427731395,3.97152011151142,2.62745379788679,90.7719247392113,2.62910092056641
"102","ETH","ET",1948,3159,18928,"jimma town",52403,36.8357927,7.6738908,1,NA,NA,2013,NA,NA,133.8,76,NA,NA,134.4,25,NA,NA,134.1,33,NA,NA,1,5187,0.568011958146487,0.186011904761905,0.246085011185682,0.693300488433815,0,101,101,100,83,37.1917520256717,35.4994438153092,3.96870715127501,1.69230742519446,58.8395401463454,94.7434427731395,3.97152011151142,2.62745379788679,90.7719247392113,2.62910092056641
"103","ETH","ET",1948,3143,18881,"jiru ifa",52334,41.2528,9.4227695,3,NA,NA,2009,NA,NA,78,1,NA,NA,78,1,NA,NA,78,0,NA,NA,1,5164,0.0128205128205128,0.0128205128205128,0,0.024034584992495,17144.9191559372,102,102,102,84,16.208545138059,15.536198398543,69.1620876734558,0.672347067014519,14.6293677105649,50.8654683285364,21.8631806205679,27.807485048884,29.0022883822008,21.3270461658719
"104","ETH","ET",1948,3194,18853,"jogir",52308,36.021,9.03269,3,NA,NA,2009,NA,NA,111,15,NA,NA,111,12,NA,NA,111,1,NA,NA,1,5152,0.135135135135135,0.108108108108108,0.009009009009009,0.222248379559183,28005.5926124944,103,103,103,85,4.75106604352355,4.38003416988803,61.9896720545324,0.371031924284109,33.2592631789911,75.9855384135473,46.3458008217029,9.41059893814647,29.6397354095485,14.6038655007478
"105","ETH","ET",1948,3194,18857,"kata aba korma",52309,35.417301,9.1255102,3,NA,NA,2009,NA,NA,103,32,NA,NA,103,7,NA,NA,103,2,NA,NA,1,5154,0.310679611650485,0.0679611650485436,0.0194174757281553,0.349058339089373,21831.1680066337,104,104,104,86,20.7492337402652,20.16895781526,55.6819857623445,0.580275848541536,23.5687803297581,45.3897277528706,24.1541030494188,21.7255660831652,21.2356237215921,32.8847071458239
"106","ETH","ET",1943,3173,18634,"kebele 16",52455,39.150002,11.8,3,NA,NA,1995,NA,NA,120,11,NA,NA,120,33,NA,NA,120,15,NA,NA,3,5048,0.0916666666666666,0.275,0.125,0.399788718553459,34098.3346798737,105,105,105,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","ETH","ET",1941,0,18494,"kechene",52431,38.7512169,9.0545602,1,NA,NA,1991,NA,NA,0,0,NA,NA,84,57,NA,NA,84,37,NA,NA,3,4948,NA,0.678571428571429,0.44047619047619,NA,7049.07003751707,106,106,106,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
