"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"GMB","GM",4915,47651,47651,"546",16867,-13.8876548,13.4125447,3,NA,NA,2015,NA,NA,49,1,49,2,49,0,1,5998,0.0204081632653061,0.0408163265306122,0,0.0569731165473505,1151.25542129913,0,0,0,1,NA,NA,NA,NA,NA,88.8001080697188,19.1019716939275,0.126333371692312,69.6981350835725,11.0735590305161
"GMB","GM",4916,47662,47662,"7th day adventist",16899,-16.65094667,13.312075,3,NA,NA,2015,NA,NA,49,1,49,1,49,0,1,6101,0.0204081632653061,0.0204081632653061,0,0.0381130503799517,1282.24967849775,1,1,1,2,NA,NA,NA,NA,NA,100,0,0,100,0
"GMB","GM",4912,47633,47633,"a better chance learning",16821,-16.70612167,13.44792833,3,NA,NA,2015,NA,NA,49,0,49,1,49,0,1,5811,0,0.0204081632653061,0,0.0192529842125529,483.893127430939,2,2,2,3,NA,NA,NA,NA,NA,99.8166247316748,8.85900122490772,0.00199406262263314,90.957624461676,0.181380998224714
"GMB","GM",4912,47633,47633,"abc",16822,-16.66231667,13.44337833,3,NA,NA,2015,NA,NA,52,0,52,0,52,0,1,5829,0,0,0,0,205.519396845461,3,3,3,4,NA,NA,NA,NA,NA,100,4.54475836393566,6.08865587504327e-17,95.4552418491923,5.44838534532197e-15
"GMB","GM",4916,47662,47662,"abc lower basic",16900,-16.631725,13.287365,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,6104,0,0,0,0,506.916248835019,4,4,4,5,NA,NA,NA,NA,NA,99.9461520504066,0.0775375056958571,0.000213725280942223,99.8686139526107,0.0536349335885899
"GMB","GM",4912,47633,47633,"abuko",16823,-16.6556575,13.399421,1,NA,NA,2015,NA,NA,48,1,48,0,48,0,1,5856,0.0208333333333333,0,0,0.0196540880503144,0,5,5,6,6,NA,NA,NA,NA,NA,87.916821707697,79.3020219699858,0.14930830035323,8.61480048930624,11.9338674782138
"GMB","GM",4912,47633,47633,"abuko",16824,-16.6556575,13.399421,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5843,NA,NA,NA,NA,0,6,6,5,6,NA,NA,NA,NA,NA,87.916821707697,79.3020219699858,0.14930830035323,8.61480048930624,11.9338674782138
"GMB","GM",4916,47664,47664,"abuko",52575,-16.6556575,13.399421,1,NA,NA,2010,NA,NA,50,0,50,0,50,0,1,6128,0,0,0,0,0,7,7,5,6,NA,NA,NA,NA,NA,88.7839536175914,80.3415644427039,0.00889500687261229,8.44238914874189,11.2071537067581
"GMB","GM",4916,47664,47664,"african children school",16942,-16.72693167,13.39610333,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,6145,0,0,0,0,734.608254951144,8,8,8,7,NA,NA,NA,NA,NA,89.039471933831,23.6924428862196,0.221483915407679,65.3470238507744,10.7390484918083
"GMB","GM",4912,47633,47633,"alhagie mamour deck memorial lbs",16825,-16.66584,13.45881667,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5816,0,0,0,0,455.168918043733,9,9,9,8,NA,NA,NA,NA,NA,100,16.4596267492504,2.20789540344765e-16,83.5403741884863,1.97519709545124e-14
"GMB","GM",4912,47633,47633,"amazing grace",16826,-16.68366667,13.45572333,3,NA,NA,2015,NA,NA,49,0,49,1,49,0,1,5855,0,0.0204081632653061,0,0.0192529842125529,367.650744622812,10,10,10,9,NA,NA,NA,NA,NA,100,13.9960678725957,1.8894865125842e-16,86.0039336429521,1.68809527065787e-14
"GMB","GM",4916,47662,47662,"anne marie river",16901,-16.661315,13.25406667,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,6100,0,0,0,0,0,11,11,200,10,NA,NA,NA,NA,NA,95.027676001417,7.05292594942795,0.0577190522363644,87.9747488911854,4.91460530479415
"GMB","GM",4912,47633,47633,"apple tree",16827,-16.70727333,13.44385167,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5841,0,0,0,0,483.893127430939,12,12,12,11,NA,NA,NA,NA,NA,99.8813938843323,5.42874612938886,0.00128974874435715,94.452648336623,0.117316232727767
"GMB","GM",4916,47657,47657,"arrangallen",16733,-16.1332971,13.2055019,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6060,NA,NA,NA,NA,0,13,13,14,12,NA,NA,NA,NA,NA,67.9633254501252,11.8998277121693,1.05126168025181,56.0634973232319,30.9854130275685
"GMB","GM",4916,47657,47657,"arrangallen basic cycle school",16728,-16.1332971,13.2055019,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,6065,0,0,0,0,0,14,14,13,12,NA,NA,NA,NA,NA,67.9633254501252,11.8998277121693,1.05126168025181,56.0634973232319,30.9854130275685
"GMB","GM",4916,47664,47664,"aunty doricing international school",16943,-16.76670833,13.38535333,3,NA,NA,2015,NA,NA,50,0,50,1,50,1,1,6159,0,0.02,0.02,0.0373584905660377,98.0958352832971,15,15,15,13,NA,NA,NA,NA,NA,82.3090995564923,22.9213186106973,0.455565550154849,59.3877836337327,17.2353337607828
"GMB","GM",4913,47634,47634,"badumeh kuta",16779,-15.38095333,13.39619,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5861,NA,NA,NA,NA,0,16,16,17,14,NA,NA,NA,NA,NA,78.4003527868014,14.4693589516834,0.625531379019878,63.9309975736196,20.9741132305133
"GMB","GM",4913,47634,47634,"badumeh kuta lower basic school",16780,-15.38095333,13.39619,3,NA,NA,2015,NA,NA,50,1,50,2,50,0,1,5859,0.02,0.04,0,0.0558490566037735,0,17,17,16,14,NA,NA,NA,NA,NA,78.4003527868014,14.4693589516834,0.625531379019878,63.9309975736196,20.9741132305133
"GMB","GM",4915,47655,47655,"baja kunda",17078,-14.0500472,13.470581,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6050,NA,NA,NA,NA,0,18,18,19,15,NA,NA,NA,NA,NA,95.4071452205472,5.19140468464692,0.0510189744772519,90.2157431901693,4.5418352346171
"GMB","GM",4915,47655,47655,"baja kunda lower basic",17079,-14.0500472,13.470581,1,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,6047,0,0,0,0,0,19,19,18,15,NA,NA,NA,NA,NA,95.4071452205472,5.19140468464692,0.0510189744772519,90.2157431901693,4.5418352346171
"GMB","GM",4916,47662,47662,"bakary samboya",16902,-16.643375,13.237545,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6112,NA,NA,NA,NA,0,20,20,21,16,NA,NA,NA,NA,NA,91.0210711641608,13.922204194224,0.12046034899237,77.0988628459797,8.85847066984327
"GMB","GM",4916,47662,47662,"bakary samboya lower basic",16903,-16.643375,13.237545,3,NA,NA,2015,NA,NA,50,5,50,3,50,0,1,6102,0.1,0.06,0,0.145283018867924,0,21,21,20,16,NA,NA,NA,NA,NA,91.0210711641608,13.922204194224,0.12046034899237,77.0988628459797,8.85847066984327
"GMB","GM",4916,47664,47664,"bakoteh annex",52576,-16.6984026,13.4314429,1,NA,NA,2010,NA,NA,50,0,50,1,50,0,1,6138,0,0.02,0,0.0188679245283018,1013.81524811655,22,22,22,17,NA,NA,NA,NA,NA,99.2422522307411,12.0989953870872,0.00085256857849542,87.1432557928675,0.756896722392764
"GMB","GM",4914,47646,47646,"ballingho",17053,-15.60931833,13.495105,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5955,NA,NA,NA,NA,0,23,23,24,18,NA,NA,NA,NA,NA,95.2274208388566,20.5473261629917,0.0203060709030304,74.6800952510561,4.75227161300135
