"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation","x","y","longitude","latitude","AnnualPrecip","AnPET","AridityIndex","geometry"
"MWI","MW",2993,28954,28954,,3,"school","sentinel site",2012,5,12,121,0,121,0,121,0,1,26479,0,0,0,0,251.036159589778,1,1,1,2,44.8432032223341,42.6400767186759,1.20915127171721,2.20312516360222,53.9476474607779,90.1992233615771,46.0781771085953,0.669430991762049,44.1210403103443,9.13134869277388,9778.49728503485,1119.73239040001,3764778.42444238,-1575081.60683433,33.81958,-14.00754,440.611673769247,868.738387495175,0.253510939670849,c(3764778.42444238, -1575081.60683433)
"MWI","MW",2993,28954,28954,,3,"school","mapping",2012,10,13,30,0,30,0,30,0,1,26418,0,0,0,0,28.61311869284,5,5,5,4,40.7690172923498,40.6082454891915,9.15806178227308,0.160768856177238,50.0729230450588,77.00626537237,72.2972245276281,0.0670159899632352,4.70904582813217,22.9267145660114,182.804828649227,1164.8625694,3722932.87125573,-1592241.24019503,33.443675,-14.157055,489.690822663489,869.08439420352,0.281847592947163,c(3722932.87125573, -1592241.24019503)
"MWI","MW",2984,28945,28945,,3,"school","mapping",2012,11,14,30,0,30,0,30,0,1,26976,0,0,0,0,41.2594802932454,6,6,6,5,40.4649669232305,39.6943316199644,15.1815885131145,0.770634992217846,44.3534445783462,93.2775063515904,93.1858503337676,2.78235811332292,0.0916521660048926,3.94013731639714,318.097611840439,733.749739600006,3886219.63993603,-1767312.29463198,34.910505,-15.676695,450.078663708041,876.2217467315,0.256803572392504,c(3886219.63993603, -1767312.29463198)
"MWI","MW",2999,28972,28972,,3,"","mapping",2012,10,14,30,0,30,0,30,0,1,26772,0,0,0,0,81.6586066740762,8,8,8,7,45.3738081264994,40.02334658282,2.90045640275207,5.35046063834103,51.7257348110893,87.6233245797234,55.3466258591594,2.28480091060775,32.2766999685598,10.091870963365,2203.99728642318,1308.82343328,3784296.62736062,-1278048.82121624,33.994915,-11.40484,557.87389345432,741.77738961494,0.37624549669763,c(3784296.62736062, -1278048.82121624)
"MWI","MW",2990,28951,28951,,3,"school","mapping",2017,10,15,30,0,30,0,30,0,1,26751,0,0,0,0,894.727779105389,12,12,12,11,64.7793895914388,62.2049367104714,12.4432544060337,2.57445366654151,67.7218778000194,,27.5210792959855,1.77802838063961,,0.59090052907359,4479.39372499377,489.006498131939,3776231.42672552,-1111587.9008027,33.92246407,-9.93539449,589.04237716628,961.338906745665,0.306330986213853,c(3776231.42672552, -1111587.9008027)
"MWI","MW",3004,28965,28965,,1,"school","mapping",2012,10,14,31,2,31,0,31,0,1,26611,0.0645161290322581,0,0,0.0608642726719416,1985.82236591056,13,13,13,12,46.2686639644589,45.7006872537889,3.26007449292909,0.567978212856433,50.4712607490508,94.4841197678288,82.4187994148495,1.06478594869235,12.0653196078938,4.45109589406281,1126.18093516138,1140.49288245342,3855932.74570082,-1668692.07180823,34.6384332,-14.8219765,525.780232050375,797.44340339086,0.32993152271547,c(3855932.74570082, -1668692.07180823)
"MWI","MW",3004,28965,28965,,3,"school","mapping",2012,10,14,30,0,30,0,30,0,1,26612,0,0,0,0,2225.43127627347,15,15,15,14,44.6065798334384,43.6011637780873,3.18744658955814,1.00541438811898,52.2059780812781,93.0526435479202,92.3692355657911,0.041299395391203,0.683404427249674,6.90605931955702,306.800877527115,1018.28802751999,3861253.46113837,-1671444.73827176,34.68623,-14.84588,506.177495113965,835.545123630405,0.302845246747516,c(3861253.46113837, -1671444.73827176)
"MWI","MW",2984,28945,28945,,3,"school","mapping",2012,10,14,30,3,30,0,30,0,1,26978,0.1,0,0,0.0943396226415094,50.0262917457874,16,16,16,15,45.6821363503657,43.4715178555186,0.906880697955807,2.21061855744606,53.4109809998683,88.1392726114823,38.726229915924,1.01108024377375,49.4130438960758,10.8496447637627,14992.4807372749,1163.28312871992,3906005.56622963,-1784419.92025568,35.088245,-15.824605,579.55076676411,755.092975980675,0.383688359422923,c(3906005.56622963, -1784419.92025568)
"MWI","MW",3007,28968,28968,,3,"school","mapping",2017,10,14,30,0,30,0,30,0,1,26913,0,0,0,0,3723.42471839595,18,18,18,17,47.2845079093396,46.6328673897572,4.01503873184385,0.651639329139207,48.7004544191237,94.7723112112969,79.2549127146747,2.10190239233313,15.5173987434336,3.12578712257927,53.9357710527692,1447.83076105219,3738744.72735025,-1217147.74937076,33.58571532,-10.86806007,451.674365897329,862.68413458209,0.261937088483622,c(3738744.72735025, -1217147.74937076)
"MWI","MW",3007,28968,28968,,3,"school","mapping",2017,10,13,30,0,30,0,30,0,1,26914,0,0,0,0,2996.59545763163,20,20,20,19,47.9004265734998,47.5057512182791,3.26245751976056,0.394674684217868,48.8371170247503,71.8518841341767,71.0640872823088,27.5747593861133,0.787798705155064,0.57335746590868,102.301611443701,1091.11997697226,3753473.05072834,-1238743.60949572,33.7180221,-11.05851826,417.956304004464,885.75912751579,0.235869071867181,c(3753473.05072834, -1238743.60949572)
